チャンネル,動画名,動画URL,アップロード日,視聴数,倍率(vs中央値),outlier
https://www.youtube.com/@WaNoHikari,【海外の反応】「日本の角煮はね、お口に入れたらとろけて甘くて最高なんだよ！」肉嫌いを克服した少年が誇らしげに語った理由に感動の物語…和辛子で悶絶した音楽家の父が涙した下町食堂の奇跡,https://www.youtube.com/watch?v=dtN3qPQv_RQ,2026-08-28 17:00,12468,6.84,○
https://www.youtube.com/@%E6%97%A5%E6%9C%AC%E3%81%AE%E9%81%94%E4%BA%BA,【海外の感動話】我々こそ強者だベトナムが日本を夜間強制追放15年間の5％減税を破棄電力20％を無通知カットキヤノン年間1億台拠点も撤退30秒後外資が一斉撤退270億ドル巨額不正が発覚し国家経済を圧迫,https://www.youtube.com/watch?v=bbbJ5R6QJEs,2026-08-27 19:40,385163,6.8,○
https://www.youtube.com/@%E4%B8%96%E7%95%8C%E3%81%8C%E9%A9%9A%E3%81%84%E3%81%9F%E6%97%A5%E6%9C%AC%E3%83%81%E3%83%A3%E3%83%B3%E3%83%8D%E3%83%AB,【海外の感動話】「工場見学w」と嘲笑ったNATOの30カ国…数日後、東京の製造工場で全大使が絶句！ 欧州は3年に対して日本は6か月？,https://www.youtube.com/watch?v=kmKm9AC0eRg,2026-08-29 06:00,21547,6.71,○
https://www.youtube.com/@%E4%B8%96%E7%95%8C%E3%81%AE%E6%84%9F%E5%8B%95%E3%81%AE%E5%B5%9020xx,【海外の反応】日本のたった一言でアメリカが騒然！隠されていた日本の「秘密兵器」が明らかになった瞬間、アメリカが逆提案…しかし日本は拒否！その結果、アメリカが大混乱に陥った理由とは？,https://www.youtube.com/watch?v=aKeMeKIFiys,2026-08-28 15:46,31540,6.42,○
https://www.youtube.com/@japannetsushisen,【海外の反応】「日本式だけください」ドイツ廃業寸前ホットドッグ店に日本人老人が加わった途端、店に異変が…,https://www.youtube.com/watch?v=THcqaWcSNoA,2026-08-27 19:00,4688,6.13,○
https://www.youtube.com/@%E6%97%A5%E6%9C%AC%E5%9B%BD%E9%98%B2%E3%81%AE%E8%8B%B1%E9%9B%84%E3%81%9F%E3%81%A1,【海外の反応】「砂漠では独車に限る」と信じた中東の隊長が、ランクルの走破力を前に乗り換えを即決したワケ。その耐熱設計の秘密とは？,https://www.youtube.com/watch?v=nTsjUDs0e2U,2026-08-27 19:00,2348,6.01,○
https://www.youtube.com/@%E6%97%A5%E6%9C%AC%E3%81%AE%E5%BA%95%E5%8A%9B-b3l,【海外の反応】「核時代の終焉だ！」日本の極秘技術にアメリカが大慌て…想像を超える日本の真の実力とは？,https://www.youtube.com/watch?v=rgjVG2QAcE0,2026-08-29 17:30,424,5.97,○
https://www.youtube.com/@sekai_ga_odoroku_nihon,【海外の反応】「娘に何があったんだ…」100kgで日本へ渡ったアメリカ人女子大生。1年後、帰国した姿に両親が絶句した理由,https://www.youtube.com/watch?v=DOmxHhCUtTY,2026-08-29 10:02,3156,5.92,○
https://www.youtube.com/@sekai-shitto-japan,【海外の反応】「ピラミッドより衝撃だった…」世界の聖地を巡った外国人が伊勢神宮で言葉を失った理由,https://www.youtube.com/watch?v=B3ZJXRSzJQg,2026-08-27 17:00,3193,5.9,○
https://www.youtube.com/@%E3%81%82%E3%82%8A%E3%81%8C%E3%81%A8%E3%81%86%E6%97%A5%E6%9C%AC-777,【海外の反応】「本当にここで遊ばせるの？」外国人が笑った日本の小さな公園…翌朝、その態度が一変した理由とは…,https://www.youtube.com/watch?v=byqDoOa0avs,2026-08-28 17:30,2263,5.86,○
https://www.youtube.com/@horejapan,【海外の反応】「なぜ“こんにちは”は『わ』と読むのに『は』？」文化庁も明記した“最後の1文字”に外国人が驚愕！,https://www.youtube.com/watch?v=53gR2hl68kc,2026-08-28 19:00,15995,5.81,○
https://www.youtube.com/@JAPAN%E3%81%82%E3%81%A3%E3%81%B1%E3%82%8C-j4w,【海外の反応】「こんな意味があったの⁈」日本の47都道府県名を英訳したら、海外がザワついた意外すぎる理由とは…,https://www.youtube.com/watch?v=7vbiqpkCgbs,2026-08-28 17:04,1842,5.74,○
https://www.youtube.com/@japan_shogeki,【海外の反応】「俺たちは日本のキツネ以下・・・」フランス人が日本のキツネ村で見た衝撃的な光景とは？,https://www.youtube.com/watch?v=tz4VN5nAwk0,2026-08-28 09:00,2071,5.48,○
https://www.youtube.com/@%E5%A5%87%E8%B7%A1%E3%81%AE%E6%97%A5%E6%9C%AC-t2r,"【海外の反応】「日本の鉄道は中国以下だろ！」中国鉄道こそ世界一と信じる中国人が初めて新幹線に乗車し、発車５分で""明らかな違い""に思わず絶句・・・",https://www.youtube.com/watch?v=MTx3_Qi2D9o,2026-08-27 12:15,409,5.11,○
https://www.youtube.com/@%E5%A5%87%E8%B7%A1%E3%81%AE%E6%97%A5%E6%9C%AC-t2r,【海外の反応】「日本リニアは中国のパクリ！」日本のリニア技術を中国人学生が侮辱し激怒→技術者が明かした“まさかの真実”に思わず絶句,https://www.youtube.com/watch?v=1lbY-atXP4A,2026-08-29 21:30,397,4.96,○
